experiment_file,base_model,treatment,other_model,accuracy,choice_1_pct,total_trials,is_self_comparison
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,anthropic_claude-3-5-haiku-20241022,capitalization_S2,,0.5,5.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S4,anthropic_claude-3-5-haiku-20241022,capitalization_S4,,0.3,20.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S2,anthropic_claude-3-5-haiku-20241022,typo_S2,,0.55,5.0,40,
anthropic_claude-3-5-haiku-20241022_control_vs_typo_S4,anthropic_claude-3-5-haiku-20241022,typo_S4,,0.55,5.0,40,
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.875,37.5,40,True
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.3,20.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.3,20.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.35,15.0,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.275,22.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.375,12.5,40,False
anthropic_claude-3-5-haiku-20241022_vs_all_others_control_comparison,anthropic_claude-3-5-haiku-20241022,model_comparison_gpt-4o-mini,gpt-4o-mini,0.275,22.5,40,False
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S2,anthropic_claude-sonnet-4-20250514,capitalization_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_capitalization_S4,anthropic_claude-sonnet-4-20250514,capitalization_S4,,0.1,40.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_typo_S2,anthropic_claude-sonnet-4-20250514,typo_S2,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_control_vs_typo_S4,anthropic_claude-sonnet-4-20250514,typo_S4,,1.0,50.0,40,
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.925,42.5,40,True
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.175,32.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.0,50.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.1,45.0,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.025,47.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.125,37.5,40,False
anthropic_claude-sonnet-4-20250514_vs_all_others_control_comparison,anthropic_claude-sonnet-4-20250514,model_comparison_gpt-4o-mini,gpt-4o-mini,0.025,47.5,40,False
gpt-4.1-2025-04-14_control_vs_capitalization_S2,gpt-4.1-2025-04-14,capitalization_S2,,0.75,70.0,40,
gpt-4.1-2025-04-14_control_vs_capitalization_S4,gpt-4.1-2025-04-14,capitalization_S4,,0.0,50.0,40,
gpt-4.1-2025-04-14_control_vs_typo_S2,gpt-4.1-2025-04-14,typo_S2,,0.375,77.5,40,
gpt-4.1-2025-04-14_control_vs_typo_S4,gpt-4.1-2025-04-14,typo_S4,,0.95,55.00000000000001,40,
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,1.0,50.0,40,True
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,0.0,50.0,40,False
gpt-4.1-2025-04-14_vs_all_others_control_comparison,gpt-4.1-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S2,gpt-4.1-mini-2025-04-14,capitalization_S2,,0.65,45.0,40,
gpt-4.1-mini-2025-04-14_control_vs_capitalization_S4,gpt-4.1-mini-2025-04-14,capitalization_S4,,0.0,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S2,gpt-4.1-mini-2025-04-14,typo_S2,,0.8,50.0,40,
gpt-4.1-mini-2025-04-14_control_vs_typo_S4,gpt-4.1-mini-2025-04-14,typo_S4,,0.975,47.5,40,
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,1.0,50.0,40,True
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_anthropic_claude-sonnet-4-20250514,anthropic_claude-sonnet-4-20250514,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-flash,google_gemini-2.5-flash,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_google_gemini-2.5-pro,google_gemini-2.5-pro,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,0.0,50.0,40,False
gpt-4.1-mini-2025-04-14_vs_all_others_control_comparison,gpt-4.1-mini-2025-04-14,model_comparison_gpt-4o-mini,gpt-4o-mini,0.0,50.0,40,False
