conversation_id,trial,row_idx,model_base,treatment,has_injection,version,injected_text_token,original_text_token,prob_choice_1,prob_choice_2,selected_choice,correct_choice,selected_meaning,correct_meaning,is_correct
trial1_gpt-4.1-mini-2025-04-14_control_0_v1,1,0,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial1_gpt-4.1-mini-2025-04-14_control_0_v2,1,0,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial2_gpt-4.1-mini-2025-04-14_control_1_v1,2,1,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial2_gpt-4.1-mini-2025-04-14_control_1_v2,2,1,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial3_gpt-4.1-mini-2025-04-14_control_2_v1,3,2,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial3_gpt-4.1-mini-2025-04-14_control_2_v2,3,2,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial4_gpt-4.1-mini-2025-04-14_control_3_v1,4,3,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial4_gpt-4.1-mini-2025-04-14_control_3_v2,4,3,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial5_gpt-4.1-mini-2025-04-14_control_4_v1,5,4,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial5_gpt-4.1-mini-2025-04-14_control_4_v2,5,4,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial6_gpt-4.1-mini-2025-04-14_control_5_v1,6,5,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial6_gpt-4.1-mini-2025-04-14_control_5_v2,6,5,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial7_gpt-4.1-mini-2025-04-14_control_6_v1,7,6,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial7_gpt-4.1-mini-2025-04-14_control_6_v2,7,6,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial8_gpt-4.1-mini-2025-04-14_control_7_v1,8,7,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial8_gpt-4.1-mini-2025-04-14_control_7_v2,8,7,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial9_gpt-4.1-mini-2025-04-14_control_8_v1,9,8,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial9_gpt-4.1-mini-2025-04-14_control_8_v2,9,8,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial10_gpt-4.1-mini-2025-04-14_control_9_v1,10,9,gpt-4.1-mini-2025-04-14,control,False,1,1,2,0.007342150434851646,0.0009936520364135504,1,2,injected,original,False
trial10_gpt-4.1-mini-2025-04-14_control_9_v2,10,9,gpt-4.1-mini-2025-04-14,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
