conversation_id,trial,row_idx,model_base,treatment,has_injection,version,injected_text_token,original_text_token,prob_choice_1,prob_choice_2,selected_choice,correct_choice,selected_meaning,correct_meaning,is_correct
trial1_gpt-4.1-mini-2025-04-14_capitalization_20_v1,1,20,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial1_gpt-4.1-mini-2025-04-14_capitalization_20_v2,1,20,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.007342150434851646,0.0009936520364135504,1,2,original,injected,False
trial2_gpt-4.1-mini-2025-04-14_capitalization_21_v1,2,21,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial2_gpt-4.1-mini-2025-04-14_capitalization_21_v2,2,21,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial3_gpt-4.1-mini-2025-04-14_capitalization_22_v1,3,22,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial3_gpt-4.1-mini-2025-04-14_capitalization_22_v2,3,22,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial4_gpt-4.1-mini-2025-04-14_capitalization_23_v1,4,23,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial4_gpt-4.1-mini-2025-04-14_capitalization_23_v2,4,23,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial5_gpt-4.1-mini-2025-04-14_capitalization_24_v1,5,24,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial5_gpt-4.1-mini-2025-04-14_capitalization_24_v2,5,24,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.007342150434851646,0.0009936520364135504,1,2,original,injected,False
trial6_gpt-4.1-mini-2025-04-14_capitalization_25_v1,6,25,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial6_gpt-4.1-mini-2025-04-14_capitalization_25_v2,6,25,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.007342150434851646,0.0009936520364135504,1,2,original,injected,False
trial7_gpt-4.1-mini-2025-04-14_capitalization_26_v1,7,26,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial7_gpt-4.1-mini-2025-04-14_capitalization_26_v2,7,26,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial8_gpt-4.1-mini-2025-04-14_capitalization_27_v1,8,27,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial8_gpt-4.1-mini-2025-04-14_capitalization_27_v2,8,27,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial9_gpt-4.1-mini-2025-04-14_capitalization_28_v1,9,28,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial9_gpt-4.1-mini-2025-04-14_capitalization_28_v2,9,28,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial10_gpt-4.1-mini-2025-04-14_capitalization_29_v1,10,29,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial10_gpt-4.1-mini-2025-04-14_capitalization_29_v2,10,29,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial11_gpt-4.1-mini-2025-04-14_capitalization_30_v1,11,30,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial11_gpt-4.1-mini-2025-04-14_capitalization_30_v2,11,30,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.007342150434851646,0.0009936520364135504,1,2,original,injected,False
trial12_gpt-4.1-mini-2025-04-14_capitalization_31_v1,12,31,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial12_gpt-4.1-mini-2025-04-14_capitalization_31_v2,12,31,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial13_gpt-4.1-mini-2025-04-14_capitalization_32_v1,13,32,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial13_gpt-4.1-mini-2025-04-14_capitalization_32_v2,13,32,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial14_gpt-4.1-mini-2025-04-14_capitalization_33_v1,14,33,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial14_gpt-4.1-mini-2025-04-14_capitalization_33_v2,14,33,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial15_gpt-4.1-mini-2025-04-14_capitalization_34_v1,15,34,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial15_gpt-4.1-mini-2025-04-14_capitalization_34_v2,15,34,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial16_gpt-4.1-mini-2025-04-14_capitalization_35_v1,16,35,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial16_gpt-4.1-mini-2025-04-14_capitalization_35_v2,16,35,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial17_gpt-4.1-mini-2025-04-14_capitalization_36_v1,17,36,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial17_gpt-4.1-mini-2025-04-14_capitalization_36_v2,17,36,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial18_gpt-4.1-mini-2025-04-14_capitalization_37_v1,18,37,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial18_gpt-4.1-mini-2025-04-14_capitalization_37_v2,18,37,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial19_gpt-4.1-mini-2025-04-14_capitalization_38_v1,19,38,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial19_gpt-4.1-mini-2025-04-14_capitalization_38_v2,19,38,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial20_gpt-4.1-mini-2025-04-14_capitalization_39_v1,20,39,gpt-4.1-mini-2025-04-14,capitalization,True,1,1,2,0.007342150434851646,0.0009936520364135504,1,1,injected,injected,True
trial20_gpt-4.1-mini-2025-04-14_capitalization_39_v2,20,39,gpt-4.1-mini-2025-04-14,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
