conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct
trial1_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,1,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial1_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,1,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial2_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,2,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial2_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,2,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial3_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,3,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial3_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,3,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial4_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,4,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial4_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,4,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.0009936520364135504,0.007342150434851646,2,2,True
trial5_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,5,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial5_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,5,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial6_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,6,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial6_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,6,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
trial7_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_1,7,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,control,treatment,0.007342150434851646,0.0009936520364135504,1,1,True
trial7_gpt-4.1-2025-04-14_control_vs_gpt-4.1-2025-04-14_treatment_2,7,0,1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,control,capitalization,treatment,control,0.007342150434851646,0.0009936520364135504,1,2,False
