conversation_id,trial,row_idx,model_base,treatment,has_injection,version,injected_text_token,original_text_token,prob_choice_1,prob_choice_2,selected_choice,correct_choice,selected_meaning,correct_meaning,is_correct
trial1_anthropic_claude-sonnet-4-20250514_control_0_v1,1,0,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial1_anthropic_claude-sonnet-4-20250514_control_0_v2,1,0,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial2_anthropic_claude-sonnet-4-20250514_control_1_v1,2,1,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial2_anthropic_claude-sonnet-4-20250514_control_1_v2,2,1,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.0009936520364135504,0.007342150434851646,2,1,injected,original,False
trial3_anthropic_claude-sonnet-4-20250514_control_2_v1,3,2,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial3_anthropic_claude-sonnet-4-20250514_control_2_v2,3,2,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial4_anthropic_claude-sonnet-4-20250514_control_3_v1,4,3,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial4_anthropic_claude-sonnet-4-20250514_control_3_v2,4,3,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial5_anthropic_claude-sonnet-4-20250514_control_4_v1,5,4,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial5_anthropic_claude-sonnet-4-20250514_control_4_v2,5,4,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial6_anthropic_claude-sonnet-4-20250514_control_5_v1,6,5,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial6_anthropic_claude-sonnet-4-20250514_control_5_v2,6,5,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial7_anthropic_claude-sonnet-4-20250514_control_6_v1,7,6,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial7_anthropic_claude-sonnet-4-20250514_control_6_v2,7,6,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial8_anthropic_claude-sonnet-4-20250514_control_7_v1,8,7,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial8_anthropic_claude-sonnet-4-20250514_control_7_v2,8,7,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial9_anthropic_claude-sonnet-4-20250514_control_8_v1,9,8,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial9_anthropic_claude-sonnet-4-20250514_control_8_v2,9,8,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial10_anthropic_claude-sonnet-4-20250514_control_9_v1,10,9,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial10_anthropic_claude-sonnet-4-20250514_control_9_v2,10,9,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
trial11_anthropic_claude-sonnet-4-20250514_control_10_v1,11,10,anthropic_claude-sonnet-4-20250514,control,False,1,1,2,0.0009936520364135504,0.007342150434851646,2,2,original,original,True
trial11_anthropic_claude-sonnet-4-20250514_control_10_v2,11,10,anthropic_claude-sonnet-4-20250514,control,False,2,2,1,0.007342150434851646,0.0009936520364135504,1,1,original,original,True
