conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct,experiment,prob_diff,max_prob,confidence
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial1_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,1,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,2,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial2_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,2,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,3,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial3_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,3,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,-0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,4,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial4_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,4,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,5,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial5_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,5,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,6,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,6,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,7,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,7,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,8,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,8,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,9,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,9,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
trial10_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,10,0,1,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,capitalization,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,anthropic_claude-3-5-haiku-20241022_control_vs_capitalization_S2,0.0063484983984380995,0.0073421504348516,0.0063484983984380995
