conversation_id,trial,row_idx,model_base,treatment,has_injection,version,injected_text_token,original_text_token,prob_choice_1,prob_choice_2,selected_choice,correct_choice,selected_meaning,correct_meaning,is_correct
trial1_anthropic_claude-3-5-haiku-20241022_capitalization_20_v1,1,20,anthropic_claude-3-5-haiku-20241022,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial1_anthropic_claude-3-5-haiku-20241022_capitalization_20_v2,1,20,anthropic_claude-3-5-haiku-20241022,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial2_anthropic_claude-3-5-haiku-20241022_capitalization_21_v1,2,21,anthropic_claude-3-5-haiku-20241022,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial2_anthropic_claude-3-5-haiku-20241022_capitalization_21_v2,2,21,anthropic_claude-3-5-haiku-20241022,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial3_anthropic_claude-3-5-haiku-20241022_capitalization_22_v1,3,22,anthropic_claude-3-5-haiku-20241022,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial3_anthropic_claude-3-5-haiku-20241022_capitalization_22_v2,3,22,anthropic_claude-3-5-haiku-20241022,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
trial4_anthropic_claude-3-5-haiku-20241022_capitalization_23_v1,4,23,anthropic_claude-3-5-haiku-20241022,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial4_anthropic_claude-3-5-haiku-20241022_capitalization_23_v2,4,23,anthropic_claude-3-5-haiku-20241022,capitalization,True,2,2,1,0.007342150434851646,0.0009936520364135504,1,2,original,injected,False
trial5_anthropic_claude-3-5-haiku-20241022_capitalization_24_v1,5,24,anthropic_claude-3-5-haiku-20241022,capitalization,True,1,1,2,0.0009936520364135504,0.007342150434851646,2,1,original,injected,False
trial5_anthropic_claude-3-5-haiku-20241022_capitalization_24_v2,5,24,anthropic_claude-3-5-haiku-20241022,capitalization,True,2,2,1,0.0009936520364135504,0.007342150434851646,2,2,injected,injected,True
